Subject	Session	Trial	Time	Trial_Start	Trial_End	Dots_Shown	Dots_Counted	Score	Dot_Width	Dot_Height	dl_x	dl_y
sophie	1	0	1.0	1522698208.888684	1522698209.891696	24	25	0.9583333333333334	8	8	1005	797
sophie	1	0	1.0	1522698208.888684	1522698209.891696	24	25	0.9583333333333334	8	8	853	968
sophie	1	0	1.0	1522698208.888684	1522698209.891696	24	25	0.9583333333333334	8	8	150	603
sophie	1	0	1.0	1522698208.888684	1522698209.891696	24	25	0.9583333333333334	8	8	1381	680
sophie	1	0	1.0	1522698208.888684	1522698209.891696	24	25	0.9583333333333334	8	8	1433	387
sophie	1	0	1.0	1522698208.888684	1522698209.891696	24	25	0.9583333333333334	8	8	1195	592
sophie	1	0	1.0	1522698208.888684	1522698209.891696	24	25	0.9583333333333334	8	8	293	920
sophie	1	0	1.0	1522698208.888684	1522698209.891696	24	25	0.9583333333333334	8	8	153	105
sophie	1	0	1.0	1522698208.888684	1522698209.891696	24	25	0.9583333333333334	8	8	1694	889
sophie	1	0	1.0	1522698208.888684	1522698209.891696	24	25	0.9583333333333334	8	8	913	254
sophie	1	0	1.0	1522698208.888684	1522698209.891696	24	25	0.9583333333333334	8	8	1437	466
sophie	1	0	1.0	1522698208.888684	1522698209.891696	24	25	0.9583333333333334	8	8	209	551
sophie	1	0	1.0	1522698208.888684	1522698209.891696	24	25	0.9583333333333334	8	8	877	947
sophie	1	0	1.0	1522698208.888684	1522698209.891696	24	25	0.9583333333333334	8	8	771	646
sophie	1	0	1.0	1522698208.888684	1522698209.891696	24	25	0.9583333333333334	8	8	327	274
sophie	1	0	1.0	1522698208.888684	1522698209.891696	24	25	0.9583333333333334	8	8	320	873
sophie	1	0	1.0	1522698208.888684	1522698209.891696	24	25	0.9583333333333334	8	8	610	895
sophie	1	0	1.0	1522698208.888684	1522698209.891696	24	25	0.9583333333333334	8	8	525	481
sophie	1	0	1.0	1522698208.888684	1522698209.891696	24	25	0.9583333333333334	8	8	101	628
sophie	1	0	1.0	1522698208.888684	1522698209.891696	24	25	0.9583333333333334	8	8	222	1051
sophie	1	0	1.0	1522698208.888684	1522698209.891696	24	25	0.9583333333333334	8	8	1050	799
sophie	1	0	1.0	1522698208.888684	1522698209.891696	24	25	0.9583333333333334	8	8	139	824
sophie	1	0	1.0	1522698208.888684	1522698209.891696	24	25	0.9583333333333334	8	8	91	776
sophie	1	0	1.0	1522698208.888684	1522698209.891696	24	25	0.9583333333333334	8	8	1252	791
sophie	1	1	1.0	1522698217.462172	1522698218.467259	70	27	0.3857142857142857	8	8	1621	580
sophie	1	1	1.0	1522698217.462172	1522698218.467259	70	27	0.3857142857142857	8	8	1634	1038
sophie	1	1	1.0	1522698217.462172	1522698218.467259	70	27	0.3857142857142857	8	8	1464	168
sophie	1	1	1.0	1522698217.462172	1522698218.467259	70	27	0.3857142857142857	8	8	1162	672
sophie	1	1	1.0	1522698217.462172	1522698218.467259	70	27	0.3857142857142857	8	8	1035	1014
sophie	1	1	1.0	1522698217.462172	1522698218.467259	70	27	0.3857142857142857	8	8	332	80
sophie	1	1	1.0	1522698217.462172	1522698218.467259	70	27	0.3857142857142857	8	8	109	576
sophie	1	1	1.0	1522698217.462172	1522698218.467259	70	27	0.3857142857142857	8	8	670	134
sophie	1	1	1.0	1522698217.462172	1522698218.467259	70	27	0.3857142857142857	8	8	1210	1052
sophie	1	1	1.0	1522698217.462172	1522698218.467259	70	27	0.3857142857142857	8	8	153	306
sophie	1	1	1.0	1522698217.462172	1522698218.467259	70	27	0.3857142857142857	8	8	359	578
sophie	1	1	1.0	1522698217.462172	1522698218.467259	70	27	0.3857142857142857	8	8	1048	221
sophie	1	1	1.0	1522698217.462172	1522698218.467259	70	27	0.3857142857142857	8	8	99	249
sophie	1	1	1.0	1522698217.462172	1522698218.467259	70	27	0.3857142857142857	8	8	435	225
sophie	1	1	1.0	1522698217.462172	1522698218.467259	70	27	0.3857142857142857	8	8	1436	311
sophie	1	1	1.0	1522698217.462172	1522698218.467259	70	27	0.3857142857142857	8	8	536	493
sophie	1	1	1.0	1522698217.462172	1522698218.467259	70	27	0.3857142857142857	8	8	234	378
