pid	trial_id	Subject	Session	Trial	Time	Trial_Start	Trial_End	Dots_Shown	Dots_Counted	Score	Dot_Width	Dot_Height	dl_x	dl_y
0	1	shirlene	1	0	2.5	1522780792.188043	1522780794.6936	144	100	0.6944444444444444	12	12	1328	424
0	1	shirlene	1	0	2.5	1522780792.188043	1522780794.6936	144	100	0.6944444444444444	12	12	391	759
0	1	shirlene	1	0	2.5	1522780792.188043	1522780794.6936	144	100	0.6944444444444444	12	12	1001	480
0	1	shirlene	1	0	2.5	1522780792.188043	1522780794.6936	144	100	0.6944444444444444	12	12	1056	947
0	1	shirlene	1	0	2.5	1522780792.188043	1522780794.6936	144	100	0.6944444444444444	12	12	1672	49
0	1	shirlene	1	0	2.5	1522780792.188043	1522780794.6936	144	100	0.6944444444444444	12	12	1422	813
0	1	shirlene	1	0	2.5	1522780792.188043	1522780794.6936	144	100	0.6944444444444444	12	12	343	44
0	1	shirlene	1	0	2.5	1522780792.188043	1522780794.6936	144	100	0.6944444444444444	12	12	443	122
0	1	shirlene	1	0	2.5	1522780792.188043	1522780794.6936	144	100	0.6944444444444444	12	12	250	394
0	1	shirlene	1	0	2.5	1522780792.188043	1522780794.6936	144	100	0.6944444444444444	12	12	56	153
0	1	shirlene	1	0	2.5	1522780792.188043	1522780794.6936	144	100	0.6944444444444444	12	12	670	308
0	1	shirlene	1	0	2.5	1522780792.188043	1522780794.6936	144	100	0.6944444444444444	12	12	815	1032
0	1	shirlene	1	0	2.5	1522780792.188043	1522780794.6936	144	100	0.6944444444444444	12	12	753	789
0	1	shirlene	1	0	2.5	1522780792.188043	1522780794.6936	144	100	0.6944444444444444	12	12	52	617
0	1	shirlene	1	0	2.5	1522780792.188043	1522780794.6936	144	100	0.6944444444444444	12	12	153	1011
0	1	shirlene	1	0	2.5	1522780792.188043	1522780794.6936	144	100	0.6944444444444444	12	12	1188	419
0	1	shirlene	1	0	2.5	1522780792.188043	1522780794.6936	144	100	0.6944444444444444	12	12	279	347
0	1	shirlene	1	0	2.5	1522780792.188043	1522780794.6936	144	100	0.6944444444444444	12	12	1616	647
0	1	shirlene	1	0	2.5	1522780792.188043	1522780794.6936	144	100	0.6944444444444444	12	12	1155	376
0	1	shirlene	1	0	2.5	1522780792.188043	1522780794.6936	144	100	0.6944444444444444	12	12	1593	599
0	1	shirlene	1	0	2.5	1522780792.188043	1522780794.6936	144	100	0.6944444444444444	12	12	1211	489
0	1	shirlene	1	0	2.5	1522780792.188043	1522780794.6936	144	100	0.6944444444444444	12	12	1481	172
0	1	shirlene	1	0	2.5	1522780792.188043	1522780794.6936	144	100	0.6944444444444444	12	12	863	45
0	1	shirlene	1	0	2.5	1522780792.188043	1522780794.6936	144	100	0.6944444444444444	12	12	1677	170
0	1	shirlene	1	0	2.5	1522780792.188043	1522780794.6936	144	100	0.6944444444444444	12	12	430	916
0	1	shirlene	1	0	2.5	1522780792.188043	1522780794.6936	144	100	0.6944444444444444	12	12	361	901
0	1	shirlene	1	0	2.5	1522780792.188043	1522780794.6936	144	100	0.6944444444444444	12	12	1481	950
0	1	shirlene	1	0	2.5	1522780792.188043	1522780794.6936	144	100	0.6944444444444444	12	12	1510	115
0	1	shirlene	1	0	2.5	1522780792.188043	1522780794.6936	144	100	0.6944444444444444	12	12	956	592
0	1	shirlene	1	0	2.5	1522780792.188043	1522780794.6936	144	100	0.6944444444444444	12	12	657	151
0	1	shirlene	1	0	2.5	1522780792.188043	1522780794.6936	144	100	0.6944444444444444	12	12	486	658
0	1	shirlene	1	0	2.5	1522780792.188043	1522780794.6936	144	100	0.6944444444444444	12	12	311	626
0	1	shirlene	1	0	2.5	1522780792.188043	1522780794.6936	144	100	0.6944444444444444	12	12	982	921
0	1	shirlene	1	0	2.5	1522780792.188043	1522780794.6936	144	100	0.6944444444444444	12	12	1639	111
0	1	shirlene	1	0	2.5	1522780792.188043	1522780794.6936	144	100	0.6944444444444444	12	12	689	559
0	1	shirlene	1	0	2.5	1522780792.188043	1522780794.6936	144	100	0.6944444444444444	12	12	1197	374
0	1	shirlene	1	0	2.5	1522780792.188043	1522780794.6936	144	100	0.6944444444444444	12	12	1337	37
0	1	shirlene	1	0	2.5	1522780792.188043	1522780794.6936	144	100	0.6944444444444444	12	12	1147	483
0	1	shirlene	1	0	2.5	1522780792.188043	1522780794.6936	144	100	0.6944444444444444	12	12	586	634
0	1	shirlene	1	0	2.5	1522780792.188043	1522780794.6936	144	100	0.6944444444444444	12	12	478	756
0	1	shirlene	1	0	2.5	1522780792.188043	1522780794.6936	144	100	0.6944444444444444	12	12	931	551
0	1	shirlene	1	0	2.5	1522780792.188043	1522780794.6936	144	100	0.6944444444444444	12	12	1426	502
0	1	shirlene	1	0	2.5	1522780792.188043	1522780794.6936	144	100	0.6944444444444444	12	12	1622	571
0	1	shirlene	1	0	2.5	1522780792.188043	1522780794.6936	144	100	0.6944444444444444	12	12	1689	501
0	1	shirlene	1	0	2.5	1522780792.188043	1522780794.6936	144	100	0.6944444444444444	12	12	1506	837
0	1	shirlene	1	0	2.5	1522780792.188043	1522780794.6936	144	100	0.6944444444444444	12	12	1208	781
0	1	shirlene	1	0	2.5	1522780792.188043	1522780794.6936	144	100	0.6944444444444444	12	12	1507	65
0	1	shirlene	1	0	2.5	1522780792.188043	1522780794.6936	144	100	0.6944444444444444	12	12	1193	748
0	1	shirlene	1	0	2.5	1522780792.188043	1522780794.6936	144	100	0.6944444444444444	12	12	1633	225
0	1	shirlene	1	0	2.5	1522780792.188043	1522780794.6936	144	100	0.6944444444444444	12	12	1252	1042
0	1	shirlene	1	0	2.5	1522780792.188043	1522780794.6936	144	100	0.6944444444444444	12	12	1633	73
0	1	shirlene	1	0	2.5	1522780792.188043	1522780794.6936	144	100	0.6944444444444444	12	12	486	584
0	1	shirlene	1	0	2.5	1522780792.188043	1522780794.6936	144	100	0.6944444444444444	12	12	1081	99
0	1	shirlene	1	0	2.5	1522780792.188043	1522780794.6936	144	100	0.6944444444444444	12	12	444	321
0	1	shirlene	1	0	2.5	1522780792.188043	1522780794.6936	144	100	0.6944444444444444	12	12	1031	581
0	1	shirlene	1	0	2.5	1522780792.188043	1522780794.6936	144	100	0.6944444444444444	12	12	1451	583
0	1	shirlene	1	0	2.5	1522780792.188043	1522780794.6936	144	100	0.6944444444444444	12	12	1089	213
0	1	shirlene	1	0	2.5	1522780792.188043	1522780794.6936	144	100	0.6944444444444444	12	12	1420	408
0	1	shirlene	1	0	2.5	1522780792.188043	1522780794.6936	144	100	0.6944444444444444	12	12	724	808
0	1	shirlene	1	0	2.5	1522780792.188043	1522780794.6936	144	100	0.6944444444444444	12	12	857	689
0	1	shirlene	1	0	2.5	1522780792.188043	1522780794.6936	144	100	0.6944444444444444	12	12	955	187
0	1	shirlene	1	0	2.5	1522780792.188043	1522780794.6936	144	100	0.6944444444444444	12	12	184	552
0	1	shirlene	1	0	2.5	1522780792.188043	1522780794.6936	144	100	0.6944444444444444	12	12	808	843
0	1	shirlene	1	0	2.5	1522780792.188043	1522780794.6936	144	100	0.6944444444444444	12	12	578	296
0	1	shirlene	1	0	2.5	1522780792.188043	1522780794.6936	144	100	0.6944444444444444	12	12	1565	530
0	1	shirlene	1	0	2.5	1522780792.188043	1522780794.6936	144	100	0.6944444444444444	12	12	478	485
0	1	shirlene	1	0	2.5	1522780792.188043	1522780794.6936	144	100	0.6944444444444444	12	12	447	263
0	1	shirlene	1	0	2.5	1522780792.188043	1522780794.6936	144	100	0.6944444444444444	12	12	39	438
0	1	shirlene	1	0	2.5	1522780792.188043	1522780794.6936	144	100	0.6944444444444444	12	12	732	265
0	1	shirlene	1	0	2.5	1522780792.188043	1522780794.6936	144	100	0.6944444444444444	12	12	1326	145
0	1	shirlene	1	0	2.5	1522780792.188043	1522780794.6936	144	100	0.6944444444444444	12	12	662	859
0	1	shirlene	1	0	2.5	1522780792.188043	1522780794.6936	144	100	0.6944444444444444	12	12	73	77
0	1	shirlene	1	0	2.5	1522780792.188043	1522780794.6936	144	100	0.6944444444444444	12	12	143	387
0	1	shirlene	1	0	2.5	1522780792.188043	1522780794.6936	144	100	0.6944444444444444	12	12	1372	534
0	1	shirlene	1	0	2.5	1522780792.188043	1522780794.6936	144	100	0.6944444444444444	12	12	908	132
0	1	shirlene	1	0	2.5	1522780792.188043	1522780794.6936	144	100	0.6944444444444444	12	12	1475	647
