pid	trial_id	TimeStamp	GazePointXLeft	GazePointYLeft	ValidityLeft	GazePointXRight	GazePointYRight	ValidityRight	GazePointX	GazePoint
4	523	849.2	1155.5373	332.7644	0	1183.3115	315.5026	0	1169.4244	324.133
4	523	865.9	1303.2770	303.0651	0	1326.9512	295.4895	0	1315.1141	299.277
4	523	882.6	1299.6602	291.8828	0	1315.4595	300.0419	0	1307.5598	295.962
4	523	899.2	1301.0648	294.3702	0	1310.1621	290.2008	0	1305.6135	292.285
4	523	915.8	1298.8106	296.8754	0	1306.3915	287.4531	0	1302.6010	292.164
4	523	932.5	1299.0967	300.9001	0	1302.8783	284.6402	0	1300.9875	292.770
4	523	949.2	1295.1490	300.2589	0	1301.7107	288.9484	0	1298.4298	294.603
4	523	965.8	1294.1874	303.1813	0	1304.6445	287.0314	0	1299.4159	295.106
4	523	982.4	1302.6995	300.6917	0	1312.1520	290.1146	0	1307.4257	295.403
4	524	0.0	974.7719	498.2658	0	970.5021	508.2578	0	972.6370	503.261
4	524	16.6	972.0204	507.5293	0	979.6802	500.0916	0	975.8503	503.810
4	524	33.2	975.8275	500.4977	0	980.2339	498.3314	0	978.0307	499.414
4	524	49.9	967.5868	498.5835	0	984.3963	509.3662	0	975.9915	503.974
4	524	66.6	975.3402	489.8686	0	977.9690	513.2486	0	976.6546	501.558
4	524	83.2	978.2766	482.1341	0	980.0204	513.4893	0	979.1485	497.811
4	524	99.9	982.9761	491.4454	0	978.5454	509.3895	0	980.7608	500.417
4	524	116.5	968.6915	491.6552	0	984.8321	510.6479	0	976.7618	501.151
4	524	133.2	978.2113	497.2253	0	981.5915	504.0933	0	979.9014	500.659
4	524	149.8	975.3010	494.1819	0	976.4231	507.6439	0	975.8620	500.912
4	524	166.5	977.6317	491.5716	0	981.3109	510.2100	0	979.4713	500.890
4	524	183.1	974.4864	493.4419	0	976.1359	507.1287	0	975.3112	500.285
4	524	199.8	978.1325	501.6473	0	977.0203	496.8212	0	977.5764	499.234
4	524	216.5	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.000
4	524	233.1	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.000
4	524	249.7	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.000
4	524	266.4	788.2409	574.2022	0	800.1010	584.8707	0	794.1710	579.536
4	524	283.1	780.8017	571.8506	0	784.3021	571.3278	0	782.5519	571.589
4	524	299.7	776.4689	571.2701	0	786.5380	574.5977	0	781.5034	572.933
4	524	316.3	776.8573	574.0352	0	779.9392	570.8936	0	778.3982	572.464
4	524	333.1	782.8347	567.1785	0	794.8802	586.0365	0	788.8575	576.607
4	524	349.7	787.3529	568.3527	0	793.9880	588.2102	0	790.6704	578.281
4	524	366.3	786.0344	578.9579	0	796.8796	571.1625	0	791.4570	575.060
4	524	382.9	780.2276	568.8881	0	793.2109	566.9518	0	786.7193	567.919
4	524	399.7	787.0483	564.4930	0	788.4159	563.4704	0	787.7321	563.981
4	524	416.3	785.1753	571.5244	0	791.4371	573.5132	0	788.3062	572.518
4	524	432.9	788.7121	575.7735	0	783.5848	573.0788	0	786.1485	574.426
4	524	449.5	781.6528	566.5739	0	776.5701	578.4382	0	779.1115	572.506
4	524	466.3	783.7708	569.4904	0	780.5598	568.6570	0	782.1653	569.073
4	524	482.9	775.3320	561.3707	0	782.9571	566.2706	0	779.1445	563.820
4	524	499.5	975.5594	546.6590	0	1008.8182	562.2223	0	992.1888	554.440
4	524	516.1	1248.4466	521.2014	0	1266.6833	519.0857	0	1257.5649	520.143
4	524	532.9	1370.4195	544.4952	0	1384.1690	527.5861	0	1377.2942	536.040
4	524	549.5	1378.1838	528.6874	0	1388.0038	521.8084	0	1383.0938	525.247
4	524	566.1	1367.0844	531.0308	0	1374.8259	534.5935	0	1370.9551	532.812
4	524	582.8	1366.0840	532.8065	0	1372.1988	539.3303	0	1369.1414	536.068
4	524	599.5	1365.7017	536.2961	0	1375.4930	537.6198	0	1370.5974	536.957
4	524	616.1	1362.9729	540.6754	0	1374.6317	536.0922	0	1368.8023	538.383
4	524	632.7	1371.5592	534.5378	0	1384.0817	532.1010	0	1377.8204	533.319
4	524	649.4	1372.0651	538.5050	0	1379.0444	526.9141	0	1375.5548	532.709
4	524	666.1	1367.6018	534.0926	0	1378.4221	527.5023	0	1373.0119	530.797
4	524	682.7	1364.3878	533.3666	0	1381.5613	518.5672	0	1372.9746	525.966
4	524	699.4	1364.5068	546.2666	0	1377.8483	529.7679	0	1371.1776	538.017
4	524	716.0	1370.2621	534.6952	0	1376.0600	530.4851	0	1373.1610	532.590
4	524	732.7	1361.7127	535.8746	0	1369.6846	530.3733	0	1365.6987	533.124
4	524	749.4	1364.1586	530.9354	0	1377.2481	529.1298	0	1370.7034	530.032
4	524	766.0	1366.3558	520.7019	0	1381.4675	526.9286	0	1373.9117	523.815
4	524	782.6	1374.0604	520.3664	0	1373.2075	531.3058	0	1373.6340	525.836
4	524	799.3	1365.7958	530.4229	0	1380.4603	526.5915	0	1373.1281	528.507
4	524	816.0	1365.8944	529.1770	0	1369.4267	525.8871	0	1367.6605	527.532
4	524	832.6	1367.3016	532.9822	0	1376.2782	531.6878	0	1371.7899	532.335
4	524	849.2	1368.8825	536.7388	0	1377.3868	531.2795	0	1373.1346	534.009
4	524	866.0	1363.0576	526.2636	0	1380.6545	521.1475	0	1371.8561	523.705
4	524	882.6	1361.9623	528.1729	0	1379.3623	534.2299	0	1370.6623	531.201
4	524	899.2	1349.2278	530.2779	0	1356.9499	521.1602	0	1353.0888	525.719
4	524	915.8	1152.6946	538.6142	0	1191.2268	529.8111	0	1171.9607	534.212
4	524	932.6	996.4402	547.6069	0	1024.2027	549.3007	0	1010.3214	548.453
4	524	949.2	914.5772	532.8521	0	936.7555	552.7756	0	925.6663	542.813
4	524	965.8	884.3628	549.8687	0	884.6358	548.0062	0	884.4993	548.937
4	524	982.4	876.2987	570.6938	0	882.3070	547.7024	0	879.3029	559.198
4	525	0.0	789.2329	486.4853	0	801.0541	502.8331	0	795.1435	494.659
4	525	16.6	760.3534	449.4949	0	776.9282	455.4640	0	768.6408	452.479
4	525	33.2	756.5166	428.4278	0	776.3257	443.6253	0	766.4211	436.026
4	525	49.9	751.9730	428.6814	0	767.6113	439.9649	0	759.7922	434.323
4	525	66.6	751.1886	428.2220	0	774.8257	439.5674	0	763.0072	433.894
4	525	83.2	753.1578	430.3333	0	771.1261	451.8725	0	762.1420	441.102
4	525	99.9	741.3870	426.6507	0	762.6280	455.4463	0	752.0075	441.048
4	525	116.5	752.7230	428.0457	0	772.6019	453.1462	0	762.6624	440.596
4	525	133.2	748.8265	423.4248	0	770.4714	460.1275	0	759.6490	441.776
4	525	149.9	751.6135	428.0684	0	768.7357	458.8199	0	760.1746	443.444
4	525	166.5	744.6761	430.4833	0	761.5861	456.3164	0	753.1311	443.399
4	525	183.1	753.1887	427.1158	0	769.7424	453.0512	0	761.4655	440.083
4	525	199.8	744.2175	426.2345	0	768.2560	459.7626	0	756.2367	442.998
4	525	216.5	754.6930	433.3951	0	765.6693	456.4581	0	760.1812	444.926
4	525	233.1	746.5813	443.4315	0	769.3862	460.1115	0	757.9837	451.771
4	525	249.7	745.4091	431.5003	0	764.8555	453.3012	0	755.1323	442.400
4	525	266.4	746.0103	445.1871	0	763.2283	450.4033	0	754.6193	447.795
4	525	283.1	751.5669	444.0543	0	763.7587	456.2863	0	757.6628	450.170
4	525	299.7	861.6370	474.5173	0	877.5356	502.3587	0	869.5863	488.438
4	525	316.3	1059.7893	523.4593	0	1067.7439	545.6297	0	1063.7666	534.544
4	525	333.1	1169.5787	604.5482	0	1184.4869	593.7516	0	1177.0328	599.149
4	525	349.7	1153.2942	587.0454	0	1176.4455	609.7883	0	1164.8699	598.416
4	525	366.3	1160.5891	598.3299	0	1179.3147	616.5079	0	1169.9519	607.418
4	525	382.9	1152.4608	609.4638	0	1168.1668	614.6775	0	1160.3138	612.070
4	525	399.7	1153.4577	602.0644	0	1172.5020	605.4968	0	1162.9799	603.780
4	525	416.3	1160.2837	609.4815	0	1174.2701	601.6564	0	1167.2769	605.569
4	525	432.9	1149.0552	613.2836	0	1168.7997	602.8516	0	1158.9274	608.067
4	525	449.5	1157.9816	609.2887	0	1171.4937	606.2207	0	1164.7377	607.754
4	525	466.3	1157.9248	602.5843	0	1175.6244	613.9242	0	1166.7746	608.254
4	525	482.9	1155.0590	594.6326	0	1175.0275	611.0976	0	1165.0432	602.865
4	525	499.5	1151.3744	598.7955	0	1170.4125	616.1947	0	1160.8934	607.495
4	525	516.1	1155.1248	605.6223	0	1176.9348	619.0425	0	1166.0298	612.332
4	525	532.9	1149.3012	613.6988	0	1168.5080	616.4773	0	1158.9046	615.088
4	525	549.5	1157.3083	606.1088	0	1167.8173	610.8613	0	1162.5628	608.485
4	525	566.1	1343.1691	587.1575	0	1364.7118	566.9536	0	1353.9405	577.055
4	525	582.8	1370.3727	578.5122	0	1406.6308	605.0376	0	1388.5018	591.774
4	525	599.5	1388.3151	578.7985	0	1400.5926	592.1223	0	1394.4538	585.460
4	525	616.1	1390.3712	574.6211	0	1395.4902	592.3127	0	1392.9307	583.466
4	525	632.7	1367.5987	582.3581	0	1398.2686	592.1043	0	1382.9336	587.231
4	525	649.4	1388.6870	573.2262	0	1394.1814	587.7596	0	1391.4342	580.492
4	525	666.1	1385.6783	578.8286	0	1397.4395	591.1080	0	1391.5589	584.968
4	525	682.7	1374.9101	579.9800	0	1401.1670	575.3500	0	1388.0386	577.665
4	525	699.4	1373.0537	574.9863	0	1404.4376	576.3157	0	1388.7457	575.651
4	525	716.0	1282.0703	663.1725	0	1320.1194	655.1329	0	1301.0949	659.152
4	525	732.7	1088.3578	819.6690	0	1106.9410	832.1783	0	1097.6494	825.923
4	525	749.3	944.7984	956.8623	0	963.1880	939.0201	0	953.9932	947.941
4	525	766.0	920.2076	969.6794	0	939.6302	968.5686	0	929.9189	969.124
4	525	782.6	912.3068	986.4725	0	932.3631	973.2759	0	922.3349	979.874
4	525	799.3	921.3087	977.1779	0	927.8766	975.4565	0	924.5927	976.317
4	525	816.0	927.2912	981.6242	0	931.3531	977.8782	0	929.3222	979.751
4	525	832.6	929.5737	962.8004	0	931.2626	973.5936	0	930.4181	968.197
4	525	849.2	921.8365	969.3805	0	925.3210	959.9822	0	923.5788	964.681
4	525	865.9	925.1071	964.3235	0	933.5715	960.7371	0	929.3393	962.530
4	525	882.6	917.5184	971.7958	0	932.8228	967.3281	0	925.1706	969.561
4	525	899.2	915.5713	956.1785	0	921.6533	965.4087	0	918.6123	960.793
4	525	915.8	928.2209	969.9097	0	918.7540	961.4818	0	923.4874	965.695
4	525	932.6	931.5344	947.7288	0	927.4189	970.4939	0	929.4766	959.111
4	525	949.2	935.9579	1000.8835	0	925.0635	970.7100	0	930.5107	985.796
4	525	965.8	927.5224	994.4346	0	927.7377	977.3373	0	927.6300	985.886
4	525	982.4	914.8084	992.4857	0	926.8683	976.9009	0	920.8383	984.693
4	526	0.0	924.7834	553.6684	0	925.4105	582.4501	0	925.0970	568.059
4	526	16.6	915.8768	564.5558	0	914.8070	576.8269	0	915.3419	570.691
4	526	33.2	911.3947	556.7720	0	923.7445	565.7228	0	917.5696	561.247
4	526	49.9	911.2457	551.4126	0	916.7467	561.8060	0	913.9962	556.609
4	526	66.6	908.3666	558.2898	0	915.5800	557.4798	0	911.9733	557.884
4	526	83.2	908.7639	555.1146	0	902.3629	553.9654	0	905.5634	554.540
4	526	99.9	906.6109	553.0721	0	901.9661	558.1546	0	904.2885	555.613
4	526	116.5	910.6212	558.0574	0	910.2815	547.9706	0	910.4514	553.014
4	526	133.2	914.9433	563.6767	0	914.3621	552.3319	0	914.6527	558.004
4	526	149.8	910.5277	556.2355	0	919.0116	556.1706	0	914.7697	556.203
4	526	166.5	925.6787	565.2450	0	917.8909	560.7548	0	921.7848	562.999
4	526	183.1	915.0261	561.0760	0	918.4705	559.7688	0	916.7483	560.422
4	526	199.8	914.0675	546.4403	0	912.4241	567.9515	0	913.2458	557.195
4	526	216.5	918.0105	555.9668	0	900.6018	569.0476	0	909.3062	562.507
4	526	233.1	913.7711	556.5386	0	917.3438	567.1451	0	915.5575	561.841
4	526	249.7	923.8133	560.9734	0	915.7463	563.6247	0	919.7798	562.299
4	526	266.4	889.3716	558.3469	0	877.1530	557.4117	0	883.2623	557.879
4	526	283.1	694.2380	527.1540	0	710.0085	547.3383	0	702.1232	537.246
4	526	299.7	674.2240	525.3954	0	685.4554	544.6585	0	679.8397	535.026
4	526	316.3	669.6321	539.2480	0	658.5147	535.4257	0	664.0734	537.336
4	526	333.1	666.6476	522.5151	0	673.3653	531.9069	0	670.0065	527.211
4	526	349.7	665.0719	530.1420	0	671.6719	537.4077	0	668.3719	533.774
4	526	366.3	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.000
4	526	383.0	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.000
4	526	399.6	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.000
4	526	416.3	666.7353	536.5694	0	660.8536	540.9316	0	663.7945	538.750
4	526	432.9	669.4785	535.8459	0	651.0582	532.3100	0	660.2684	534.078
4	526	449.5	663.9076	523.3475	0	660.6599	536.0542	0	662.2837	529.700
4	526	466.3	669.2814	532.8056	0	667.7360	543.8936	0	668.5087	538.349
4	526	482.9	665.5323	532.0823	0	662.6918	546.9429	0	664.1120	539.512
4	526	499.5	667.4863	529.2756	0	666.8017	534.6765	0	667.1440	531.976
4	526	516.1	660.3668	523.5039	0	657.5969	538.4484	0	658.9818	530.976
4	526	532.9	662.0085	535.6708	0	667.6259	529.6393	0	664.8172	532.655
4	526	549.5	660.2737	535.3073	0	667.6118	537.6492	0	663.9427	536.478
4	526	566.1	669.7310	529.8952	0	667.0426	534.4704	0	668.3868	532.182
4	526	582.8	684.0545	531.2697	0	698.3820	526.3628	0	691.2183	528.816
4	526	599.5	905.1963	405.6412	0	961.2782	397.1485	0	933.2373	401.394
4	526	616.1	1090.4847	355.1447	0	1113.1341	350.1827	0	1101.8094	352.663
4	526	632.7	1083.4549	354.8714	0	1112.6435	345.3954	0	1098.0492	350.133
4	526	649.4	1097.0725	363.4969	0	1114.3481	340.2174	0	1105.7103	351.857
4	526	666.1	1103.7596	358.6912	0	1113.4137	351.6319	0	1108.5866	355.161
4	526	682.7	1105.2486	361.8336	0	1111.8663	357.5674	0	1108.5575	359.700
4	526	699.4	1101.7262	363.1661	0	1105.7172	344.8870	0	1103.7217	354.026
4	526	716.0	1102.1804	366.8681	0	1110.6148	350.9561	0	1106.3976	358.912
4	526	732.7	1087.6299	366.2967	0	1113.2760	348.5290	0	1100.4529	357.412
4	526	749.3	1090.6606	365.7812	0	1108.2784	343.8759	0	1099.4695	354.828
4	526	766.0	1086.4420	358.7447	0	1107.8156	344.3520	0	1097.1288	351.548
4	526	782.6	1092.0613	364.7335	0	1110.3949	353.1825	0	1101.2281	358.958
4	526	799.2	1100.6973	356.8383	0	1111.0611	338.6414	0	1105.8792	347.739
4	526	816.0	1102.4252	358.6813	0	1109.2718	340.3531	0	1105.8485	349.517
4	526	832.6	1058.8110	405.9573	0	1072.8611	401.6249	0	1065.8361	403.791
4	526	849.2	922.3642	598.8537	0	944.0038	584.5907	0	933.1840	591.722
4	526	865.9	818.0385	740.4614	0	835.1912	744.4162	0	826.6148	742.438
4	526	882.6	807.4916	778.5868	0	826.2506	781.7663	0	816.8711	780.176
4	526	899.2	807.9474	785.2218	0	818.8617	778.1300	0	813.4046	781.675
4	526	915.8	800.5228	772.3935	0	813.8858	779.8683	0	807.2043	776.130
4	526	932.6	810.6614	772.0221	0	825.0049	790.0388	0	817.8332	781.030
4	526	949.2	819.4320	782.3786	0	819.4848	782.1634	0	819.4584	782.271
4	526	965.8	801.8828	783.1786	0	819.8630	766.1000	0	810.8729	774.639
4	526	982.4	799.4004	777.3622	0	816.3566	761.6249	0	807.8785	769.493
4	527	0.0	925.3507	546.4638	0	926.0910	555.3608	0	925.7209	550.912
4	527	16.7	919.8986	551.8657	0	930.9520	559.7922	0	925.4253	555.828
4	527	33.4	924.5774	547.5187	0	928.5253	564.3929	0	926.5514	555.955
4	527	50.0	928.4708	554.2250	0	926.6160	562.5059	0	927.5434	558.365
4	527	66.6	926.4944	550.7001	0	932.5951	565.7929	0	929.5448	558.246
4	527	83.4	930.6426	563.3292	0	921.3057	559.7967	0	925.9742	561.563
4	527	100.0	932.1060	543.2417	0	921.2651	561.7770	0	926.6855	552.509
4	527	116.6	926.8749	543.4133	0	915.4655	559.1981	0	921.1702	551.305
4	527	133.2	930.7797	548.4725	0	922.2713	563.3712	0	926.5255	555.921
4	527	150.0	931.2550	550.9052	0	920.5567	562.1802	0	925.9058	556.542
4	527	166.6	932.8793	558.5065	0	925.0023	568.0685	0	928.9408	563.287
4	527	183.2	930.7207	548.6290	0	919.7175	570.5837	0	925.2191	559.606
4	527	199.8	929.9657	545.8658	0	921.0489	561.2903	0	925.5073	553.578
4	527	216.6	923.4930	554.4920	0	923.9611	558.2987	0	923.7270	556.395
4	527	233.2	920.1415	544.0619	0	931.4035	567.9631	0	925.7725	556.012
4	527	249.8	837.4282	545.2342	0	850.0366	559.9548	0	843.7324	552.594
4	527	266.5	646.4243	526.6379	0	666.4241	540.2834	0	656.4242	533.460
