pid	trial_id	TimeStamp	GazePointXLeft	GazePointYLeft	ValidityLeft	GazePointXRight	GazePointYRight	ValidityRight	GazePointX	GazePoint
0	12	0.0	960.7956	602.6016	0	969.2161	602.7008	0	965.0059	602.651
0	12	16.6	960.9834	583.3365	0	968.5913	607.7630	0	964.7873	595.549
0	12	33.4	965.8821	601.5323	0	971.3297	608.6291	0	968.6059	605.080
0	12	50.0	947.7873	616.6157	0	966.0213	607.4262	0	956.9043	612.021
0	12	66.6	945.5748	600.8726	0	967.9358	600.1337	0	956.7553	600.503
0	12	83.2	946.6635	596.3261	0	961.8953	612.2923	0	954.2794	604.309
0	13	0.0	938.0179	569.3124	0	941.6493	570.0812	0	939.8336	569.696
0	13	16.6	927.9907	560.0229	0	935.1297	582.9261	0	931.5602	571.474
0	13	33.4	925.6886	559.2013	0	933.5243	564.8155	0	929.6064	562.008
0	13	50.0	930.3673	559.4085	0	937.2756	562.8806	0	933.8214	561.144
0	13	66.6	920.1413	556.0823	0	940.5978	569.3242	0	930.3696	562.703
0	13	83.2	930.3010	561.9844	0	944.0509	571.0206	0	937.1759	566.502
0	14	0.0	939.1795	547.1503	0	961.0401	544.8816	0	950.1098	546.016
0	14	16.6	949.9744	545.7863	0	969.5392	548.8150	0	959.7568	547.300
0	14	33.4	943.2783	544.5708	0	964.3969	544.3673	0	953.8376	544.469
0	14	50.0	945.3335	540.7506	0	959.7577	556.4080	0	952.5456	548.579
0	14	66.6	939.4744	549.7963	0	968.5418	554.2336	0	954.0081	552.014
0	14	83.2	937.0575	547.5227	0	966.0917	540.5802	0	951.5746	544.051
0	14	100.0	941.8350	535.6459	0	955.5904	561.2502	0	948.7127	548.448
0	15	0.0	942.4312	564.6027	0	966.3179	567.9590	0	954.3745	566.280
0	15	16.6	955.4411	559.0824	0	951.8171	560.9353	0	953.6291	560.008
0	15	33.2	943.5029	563.0204	0	961.6887	561.5324	0	952.5958	562.276
0	15	49.9	937.0734	549.5374	0	973.8817	565.6793	0	955.4775	557.608
0	15	66.6	949.1893	570.0649	0	967.1984	568.9321	0	958.1938	569.498
0	15	83.2	944.9072	555.4406	0	957.0464	571.1681	0	950.9768	563.304
0	16	0.0	955.1571	550.0821	0	972.9408	570.4565	0	964.0489	560.269
0	16	16.6	963.2969	573.3097	0	977.6031	576.3959	0	970.4500	574.852
0	16	33.4	963.8383	566.0773	0	969.9763	572.3503	0	966.9073	569.213
0	16	50.0	978.1019	588.8866	0	968.6146	563.7876	0	973.3583	576.337
0	16	66.6	964.0378	564.8081	0	963.6685	567.9046	0	963.8531	566.356
0	16	83.2	966.0731	570.4637	0	962.1505	575.6476	0	964.1118	573.055
0	17	0.0	911.4669	585.4254	0	925.7341	559.6324	0	918.6005	572.528
0	17	16.6	901.3936	572.3920	0	935.4682	560.0913	0	918.4309	566.241
0	17	33.2	913.9930	573.6033	0	918.0529	570.4007	0	916.0229	572.002
0	17	49.9	915.3696	559.7940	0	929.9704	574.4501	0	922.6700	567.122
0	17	66.6	912.4225	572.3182	0	927.3080	575.2852	0	919.8652	573.801
0	17	83.2	923.6896	567.4827	0	918.5175	562.4558	0	921.1036	564.969
0	17	99.9	906.5367	557.3733	0	938.9788	591.4581	0	922.7577	574.415
0	17	116.5	917.7033	559.9708	0	924.7509	563.1389	0	921.2271	561.554
0	17	133.2	906.3210	556.4629	0	920.6753	564.1036	0	913.4981	560.283
0	17	149.8	911.8275	559.9866	0	934.5817	573.2854	0	923.2046	566.636
0	17	166.5	910.9481	575.1731	0	924.0524	568.5530	0	917.5003	571.863
0	17	183.1	914.7668	574.3465	0	917.8734	572.0855	0	916.3201	573.216
0	17	199.8	905.9668	571.0735	0	926.0371	567.8314	0	916.0019	569.452
0	17	216.5	912.1782	567.8149	0	922.3455	570.0027	0	917.2619	568.908
0	17	233.1	849.0106	578.6853	0	867.3495	577.1868	0	858.1800	577.936
0	17	249.7	781.4037	563.1071	0	779.8909	581.5505	0	780.6473	572.328
0	17	266.5	782.1715	573.5124	0	795.1483	580.0999	0	788.6599	576.806
0	17	283.1	795.7034	563.9917	0	794.4276	589.2179	0	795.0655	576.604
0	17	299.7	778.9736	571.8747	0	796.6414	583.2543	0	787.8075	577.564
0	17	316.3	786.3059	573.4596	0	787.6946	583.0212	0	787.0003	578.240
0	17	333.1	785.8095	572.3044	0	779.5930	574.2509	0	782.7013	573.277
0	17	349.7	782.3978	586.0238	0	787.1001	577.0812	0	784.7489	581.552
0	17	366.3	781.1551	588.8591	0	790.7909	581.2782	0	785.9730	585.068
0	17	382.9	782.8223	592.1012	0	780.9193	591.3106	0	781.8708	591.705
0	17	399.7	766.8230	567.4857	0	785.9562	592.4002	0	776.3896	579.943
0	17	416.3	777.2511	586.0218	0	791.5032	592.4989	0	784.3772	589.260
0	17	432.9	786.5671	572.0655	0	788.7849	593.1658	0	787.6760	582.615
0	17	449.5	938.0519	622.0161	0	963.6231	634.0174	0	950.8375	628.016
0	17	466.3	1029.2938	686.5164	0	1040.2848	650.3953	0	1034.7893	668.455
0	17	482.9	1027.8302	664.2813	0	1029.7401	655.8099	0	1028.7851	660.045
0	17	499.5	1037.0427	662.0002	0	1039.2918	667.7767	0	1038.1673	664.888
0	17	516.2	1031.7598	693.0183	0	1038.9949	675.8755	0	1035.3774	684.446
0	17	532.9	1026.6695	665.9792	0	1029.8505	663.0955	0	1028.2600	664.537
0	17	549.5	1028.0497	678.4911	0	1028.6238	654.1209	0	1028.3368	666.306
0	17	566.1	1034.3942	673.1420	0	1031.3254	663.5861	0	1032.8598	668.364
0	17	582.8	1030.6734	667.2521	0	1037.9517	667.5745	0	1034.3125	667.413
0	17	599.5	1031.2192	661.7343	0	1032.5489	683.1459	0	1031.8840	672.440
0	17	616.1	1027.4008	662.7154	0	1031.9003	674.7605	0	1029.6505	668.737
0	17	632.8	1033.3296	697.3267	0	1044.1174	699.4350	0	1038.7235	698.380
0	17	649.4	1032.5206	724.9261	0	1023.5049	739.4172	0	1028.0128	732.171
0	17	666.1	1025.0453	722.3275	0	1033.2699	741.6143	0	1029.1576	731.970
0	17	682.7	1026.1738	739.5592	0	1033.0909	750.2606	0	1029.6323	744.909
0	17	699.4	1022.9050	746.1739	0	1017.2980	741.1358	0	1020.1015	743.654
0	17	716.0	1020.1444	730.1147	0	1025.3058	728.7273	0	1022.7251	729.421
0	17	732.7	1025.9556	734.8226	0	1034.4317	728.3443	0	1030.1936	731.583
0	17	749.4	1033.0666	737.5303	0	1045.6005	719.7889	0	1039.3336	728.659
0	17	766.0	1012.0594	754.7839	0	1028.9336	725.1054	0	1020.4965	739.944
0	17	782.6	805.5058	783.9896	0	851.2708	772.4661	0	828.3883	778.227
0	17	799.3	697.1156	816.1107	0	711.4849	828.1135	0	704.3003	822.112
0	17	816.0	695.3825	814.3543	0	699.0506	808.0028	0	697.2165	811.178
0	17	832.6	691.7858	812.4805	0	710.5026	826.6588	0	701.1442	819.569
0	17	849.2	706.0238	819.8974	0	712.2554	822.2010	0	709.1396	821.049
0	17	866.0	702.7824	797.8319	0	714.9952	813.5687	0	708.8888	805.700
0	17	882.6	699.4291	807.2775	0	713.5530	811.1896	0	706.4911	809.233
