pid	trial_id	TimeStamp	GazePointXLeft	GazePointYLeft	ValidityLeft	GazePointXRight	GazePointYRight	ValidityRight	GazePointX	GazePoint
1	239	2364.7	1483.9601	384.1791	0	1509.5154	399.506	0	1496.7377	391.842
1	239	2381.5	1479.4633	388.9438	0	1461.1738	424.1223	0	1470.3186	406.53
1	239	2398.1	1495.2189	388.411	0	1482.318	431.322	0	1488.7684	409.866
1	239	2414.7	1494.3519	343.8132	0	1467.1445	455.9675	0	1480.7482	399.890
1	239	2431.3	1472.7841	398.1312	0	1513.1931	432.1903	0	1492.9886	415.160
1	239	2448.1	1480.7049	384.9226	0	1536.7012	472.277	0	1508.703	428.599
1	239	2464.7	1492.2402	390.6292	0	1466.0141	414.5114	0	1479.1271	402.570
1	239	2481.3	1474.2576	440.07	0	1493.5444	427.6444	0	1483.901	433.857
1	240	0	983.9253	573.5884	0	941.8821	643.5337	0	962.9037	608.561
1	240	16.6	1016.9521	509.4118	0	977.6703	606.0655	0	997.3112	557.738
1	240	33.4	966.2295	613.773	0	1003.8667	599.4039	0	985.0481	606.588
1	240	50	989.9001	604.7172	0	1017.0311	626.4466	0	1003.4656	615.581
1	240	66.6	1011.5274	592.7518	0	985.7677	616.5489	0	998.6475	604.650
1	240	83.2	977.5474	575.6729	0	985.9449	587.3375	0	981.7461	581.505
1	240	100	999.5586	573.166	0	1001.4135	644.3135	0	1000.486	608.739
1	240	116.5	971.033	573.2647	0	991.9763	630.881	0	981.5047	602.072
1	240	133.2	978.6055	619.0938	0	973.9081	626.3322	0	976.2568	622.71
1	240	149.9	977.259	553.8135	0	964.7003	612.3584	0	970.9796	583.085
1	240	166.5	964.3243	632.35	0	973.5953	641.642	0	968.9598	636.99
1	240	183.2	981.185	605.7053	0	936.4115	616.7669	0	958.7983	611.236
1	240	199.8	925.1802	569.7101	0	933.7963	567.1242	0	929.4883	568.417
1	240	216.5	937.4365	582.4788	0	915.5061	623.4499	0	926.4713	602.964
1	240	233.2	976.3535	593.9649	0	970.1514	613.8834	0	973.2524	603.924
1	240	249.8	968.8974	630.4235	0	1006.3185	608.6462	0	987.6079	619.534
1	240	266.5	950.3738	607.7312	0	933.3446	564.0991	0	941.8592	585.915
1	240	283.1	955.3917	625.0593	0	937.7066	625.589	0	946.5492	625.324
1	240	299.7	962.5309	638.0343	0	953.8389	613.9982	0	958.1849	626.016
1	240	316.4	906.4708	607.8237	0	942.9056	494.8999	0	924.6882	551.361
1	240	333.1	890.3246	614.2892	0	943.503	639.641	0	916.9138	626.965
1	240	349.7	913.0409	643.7389	0	845.2878	684.7319	0	879.1643	664.235
1	240	366.3	942.1005	722.152	0	883.3394	728.1393	0	912.7199	725.145
1	240	383.1	912.3942	704.0667	0	949.7559	719.8222	0	931.0751	711.944
1	240	399.7	948.2937	636.1877	0	911.0219	687.3041	0	929.6578	661.745
1	240	416.3	889.3185	678.1107	0	925.2736	726.6579	0	907.2961	702.384
1	240	433	886.9309	757.5452	0	935.5427	704.8037	0	911.2368	731.174
1	240	449.5	912.2816	723.0074	0	914.8821	671.3828	0	913.5818	697.195
1	240	466.3	914.777	737.7046	0	915.3964	726.1011	0	915.0867	731.902
1	240	482.9	933.0395	697.6414	0	927.4638	712.3756	0	930.2517	705.008
1	240	499.5	900.6087	718.254	0	883.4881	706.2464	0	892.0484	712.250
1	240	516.3	885.3746	747.027	0	950.3077	723.3613	0	917.8411	735.194
1	240	532.9	933.1984	735.3378	0	894.6917	725.7404	0	913.9451	730.539
1	240	549.7	1022.0831	953.212	0	989.6511	913.0101	0	1005.8671	933.11
1	240	566.3	989.1184	1062.4768	0	1001.2744	1072.4881	0	995.1964	1067.482
1	240	582.9	999.316	1056.9936	0	1027.7916	1050.6674	0	1013.5538	1053.830
1	240	599.5	964.9306	1058.0736	0	980.7656	1083.8637	0	972.8481	1070.968
1	240	616.3	1017.5099	1053.2913	0	994.276	1042.1755	0	1005.8929	1047.733
1	240	632.9	1015.9703	1040.0639	0	989.6927	1039.4629	0	1002.8315	1039.763
1	240	649.5	1032.0405	1078.1755	0	1033.4403	1050.7813	0	1032.7404	1064.478
1	240	666.1	1008.9007	1033.979	0	973.8068	1061.9839	0	991.3538	1047.981
1	240	682.9	980.3887	1068.1847	0	1013.4383	1040.0263	0	996.9135	1054.105
1	240	699.5	1013.6879	1061.2808	0	1036.3882	1072.0088	0	1025.038	1066.644
1	240	716.1	966.9018	1071.5483	0	1037.5984	1090.2738	0	1002.2501	1080.91
1	240	732.7	999.3979	1032.4515	0	994.5569	1093.3189	0	996.9774	1062.885
1	240	749.8	991.8571	1058.7435	0	950.5103	1073.5403	0	971.1837	1066.141
1	240	766.5	963.2308	1091.0725	0	982.2411	1056.6367	0	972.7359	1073.854
1	240	783.2	979.2966	1101.2768	0	909.9143	1078.3107	0	944.6055	1089.793
1	240	799.8	943.6355	1083.5832	0	975.978	1099.2002	0	959.8068	1091.391
1	240	816.4	949.3591	1113.0202	0	926.0584	1102.8516	0	937.7088	1107.935
1	240	833.1	968.9176	1084.4004	0	915.7755	1104.9176	0	942.3466	1094.65
1	240	849.8	979.2007	1114.8545	0	905.5041	1068.5368	0	942.3524	1091.695
